date,time,source,product,file,n,s,e,w,resolution_m,description
2026-01-08,11:00:00,,lidar,HP_UAV_LIDAR_20260108_1m.png,35.021468,35.009409,126.557067,126.541157,1.0,UAV LiDAR DSM (m)
2026-01-08,11:00:00,,ndvi,HP_UAV_NDVI_20260108_1m.png,35.013588,35.011255,126.550853,126.545131,1.0,UAV multispectral NDVI
2026-01-08,11:00:00,,ndwi,HP_UAV_NDWI_20260108_1m.png,35.013588,35.011255,126.550853,126.545131,1.0,UAV multispectral NDWI
2026-01-08,11:00:00,,rgb,HP_UAV_RGB_20260108_1m.png,35.013588,35.011255,126.550853,126.545131,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-01-08,11:00:00,,tir,HP_UAV_TIR_20260108_1m.png,35.013588,35.011255,126.550853,126.545131,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-01-13,11:00:00,,lidar,HP_UAV_LIDAR_20260113_1m.png,35.022437,35.009456,126.557043,126.543873,1.0,UAV LiDAR DSM (m)
2026-01-13,11:00:00,,ndvi,HP_UAV_NDVI_20260113_1m.png,35.019734,35.0098,126.558364,126.544413,1.0,UAV multispectral NDVI
2026-01-13,11:00:00,,ndwi,HP_UAV_NDWI_20260113_1m.png,35.019734,35.0098,126.558364,126.544413,1.0,UAV multispectral NDWI
2026-01-13,11:00:00,,rgb,HP_UAV_RGB_20260113_1m.png,35.019734,35.0098,126.558364,126.544413,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-01-13,11:00:00,,tir,HP_UAV_TIR_20260113_1m.png,35.019734,35.0098,126.558364,126.544413,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-02-11,11:00:00,,lidar,HP_UAV_LIDAR_20260211_1m.png,35.022141,35.008997,126.557728,126.543328,1.0,UAV LiDAR DSM (m)
2026-02-11,11:00:00,,ndvi,HP_UAV_NDVI_20260211_1m.png,35.019947,35.009595,126.559195,126.543204,1.0,UAV multispectral NDVI
2026-02-11,11:00:00,,ndwi,HP_UAV_NDWI_20260211_1m.png,35.019947,35.009595,126.559195,126.543204,1.0,UAV multispectral NDWI
2026-02-11,11:00:00,,rgb,HP_UAV_RGB_20260211_1m.png,35.019947,35.009595,126.559195,126.543204,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-02-11,11:00:00,,tir,HP_UAV_TIR_20260211_1m.png,35.019947,35.009595,126.559195,126.543204,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-02-20,11:00:00,,lidar,HP_UAV_LIDAR_20260220_1m.png,35.02231,35.009055,126.559265,126.543487,1.0,UAV LiDAR DSM (m)
2026-02-20,11:00:00,,ndvi,HP_UAV_NDVI_20260220_1m.png,35.020084,35.009834,126.558654,126.543654,1.0,UAV multispectral NDVI
2026-02-20,11:00:00,,ndwi,HP_UAV_NDWI_20260220_1m.png,35.020084,35.009834,126.558654,126.543654,1.0,UAV multispectral NDWI
2026-02-20,11:00:00,,rgb,HP_UAV_RGB_20260220_1m.png,35.020084,35.009834,126.558654,126.543654,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-02-20,11:00:00,,tir,HP_UAV_TIR_20260220_1m.png,35.020084,35.009834,126.558654,126.543654,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-02-23,11:00:00,,lidar,HP_UAV_LIDAR_20260223_1m.png,35.022209,35.009139,126.557706,126.54343,1.0,UAV LiDAR DSM (m)
2026-02-23,11:00:00,,ndvi,HP_UAV_NDVI_20260223_1m.png,35.019894,35.009701,126.558555,126.543548,1.0,UAV multispectral NDVI
2026-02-23,11:00:00,,ndwi,HP_UAV_NDWI_20260223_1m.png,35.019894,35.009701,126.558555,126.543548,1.0,UAV multispectral NDWI
2026-02-23,11:00:00,,rgb,HP_UAV_RGB_20260223_1m.png,35.019894,35.009701,126.558555,126.543548,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-02-23,11:00:00,lband,sm_lgb,HP_UAV_SM_LGB_20260223_1m.png,35.019746,35.009845,126.556958,126.545123,1.0,LGB-downscaled soil moisture from L-band (PolRA)
2026-02-23,11:00:00,lband,sm_retr,HP_UAV_SM_RETR_20260223_25m.png,35.02366,35.008399,126.558145,126.541404,25.0,L-band radiometer retrieved soil moisture (PolRA)
2026-02-23,11:00:00,lband,tb_h,HP_UAV_TB_H_20260223_25m.png,35.02366,35.008399,126.558145,126.541404,25.0,"L-band brightness temperature, H-pol (PolRA)"
2026-02-23,11:00:00,lband,tb_v,HP_UAV_TB_V_20260223_25m.png,35.02366,35.008399,126.558145,126.541404,25.0,"L-band brightness temperature, V-pol (PolRA)"
2026-02-23,11:00:00,,tir,HP_UAV_TIR_20260223_1m.png,35.019894,35.009701,126.558555,126.543548,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-03-14,11:00:00,,lidar,HP_UAV_LIDAR_20260314_1m.png,35.022241,35.009048,126.557747,126.543398,1.0,UAV LiDAR DSM (m)
2026-03-14,11:00:00,,ndvi,HP_UAV_NDVI_20260314_1m.png,35.02,35.009821,126.55868,126.543771,1.0,UAV multispectral NDVI
2026-03-14,11:00:00,,ndwi,HP_UAV_NDWI_20260314_1m.png,35.02,35.009821,126.55868,126.543771,1.0,UAV multispectral NDWI
2026-03-14,11:00:00,,rgb,HP_UAV_RGB_20260314_1m.png,35.02,35.009821,126.55868,126.543771,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-03-14,11:00:00,,tir,HP_UAV_TIR_20260314_1m.png,35.02,35.009821,126.55868,126.543771,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-03-20,11:00:00,,lidar,HP_UAV_LIDAR_20260320_1m.png,35.022116,35.009102,126.55793,126.543447,1.0,UAV LiDAR DSM (m)
2026-03-20,11:00:00,,ndvi,HP_UAV_NDVI_20260320_1m.png,35.019995,35.009798,126.558371,126.54395,1.0,UAV multispectral NDVI
2026-03-20,11:00:00,,ndwi,HP_UAV_NDWI_20260320_1m.png,35.019995,35.009798,126.558371,126.54395,1.0,UAV multispectral NDWI
2026-03-20,11:00:00,,rgb,HP_UAV_RGB_20260320_1m.png,35.019995,35.009798,126.558371,126.54395,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-03-20,11:00:00,,tir,HP_UAV_TIR_20260320_1m.png,35.019995,35.009798,126.558371,126.54395,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-03-26,11:00:00,,lidar,HP_UAV_LIDAR_20260326_1m.png,35.021773,35.009312,126.556373,126.543605,1.0,UAV LiDAR DSM (m)
2026-03-26,11:00:00,,ndvi,HP_UAV_NDVI_20260326_1m.png,35.020047,35.009663,126.558116,126.543384,1.0,UAV multispectral NDVI
2026-03-26,11:00:00,,ndwi,HP_UAV_NDWI_20260326_1m.png,35.020047,35.009663,126.558116,126.543384,1.0,UAV multispectral NDWI
2026-03-26,11:00:00,,rgb,HP_UAV_RGB_20260326_1m.png,35.020047,35.009663,126.558116,126.543384,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-03-26,11:00:00,,tir,HP_UAV_TIR_20260326_1m.png,35.020047,35.009663,126.558116,126.543384,1.0,UAV LWIR (DN/100 − 273.15 → °C)
2026-04-30,11:00:00,,lidar,HP_UAV_LIDAR_20260430_1m.png,35.013949,35.010518,126.556171,126.551245,1.0,UAV LiDAR DSM (m)
2026-04-30,11:00:00,,ndvi,HP_UAV_NDVI_20260430_1m.png,35.013648,35.010749,126.555968,126.551289,1.0,UAV multispectral NDVI
2026-04-30,11:00:00,,ndwi,HP_UAV_NDWI_20260430_1m.png,35.013648,35.010749,126.555968,126.551289,1.0,UAV multispectral NDWI
2026-04-30,11:00:00,,rgb,HP_UAV_RGB_20260430_1m.png,35.013648,35.010749,126.555968,126.551289,1.0,UAV multispectral RGB (per-band 2–98 % stretch)
2026-04-30,11:00:00,,tir,HP_UAV_TIR_20260430_1m.png,35.013648,35.010749,126.555968,126.551289,1.0,UAV LWIR (DN/100 − 273.15 → °C)
